Year,Stage,away_team,date,home_team,home_result,away_result,winner
1930,Group A,Mexico,13/07/1930 15:00,France,4,1,France
1930,Group D,Belgium,13/07/1930 15:00,United States,3,0,United States
1930,Group B,Brazil,14/07/1930 12:45,Yugoslavia,2,1,Yugoslavia
1930,Group C,Peru,14/07/1930 14:50,Romania,3,1,Romania
1930,Group A,France,15/07/1930 16:00,Argentina,1,0,Argentina
1930,Group A,Mexico,16/07/1930 14:45,Chile,3,0,Chile
1930,Group B,Bolivia,17/07/1930 12:45,Yugoslavia,4,0,Yugoslavia
1930,Group D,Paraguay,17/07/1930 14:45,United States,3,0,United States
1930,Group C,Peru,18/07/1930 14:30,Uruguay,1,0,Uruguay
1930,Group A,France,19/07/1930 12:50,Chile,1,0,Chile
1930,Group A,Mexico,19/07/1930 15:00,Argentina,6,3,Argentina
1930,Group B,Bolivia,20/07/1930 13:00,Brazil,4,0,Brazil
1930,Group D,Belgium,20/07/1930 15:00,Paraguay,1,0,Paraguay
1930,Group C,Romania,21/07/1930 14:50,Uruguay,4,0,Uruguay
1930,Group A,Chile,22/07/1930 14:45,Argentina,3,1,Argentina
1930,Semi-finals,United States,26/07/1930 14:45,Argentina,6,1,Argentina
1930,Semi-finals,Yugoslavia,27/07/1930 14:45,Uruguay,6,1,Uruguay
1930,Final,Argentina,30/07/1930 14:15,Uruguay,4,2,Uruguay
1934,First round,France,27/05/1934 16:30,Austria,3,2,Austria 
1934,First round,Egypt,27/05/1934 16:30,Hungary,4,2,Hungary
1934,First round,Netherlands,27/05/1934 16:30,Switzerland,3,2,Switzerland
1934,First round,Argentina,27/05/1934 16:30,Sweden,3,2,Sweden
1934,First round,Belgium,27/05/1934 16:30,Germany,5,2,Germany
1934,First round,Brazil,27/05/1934 16:30,Spain,3,1,Spain
1934,First round,United States,27/05/1934 16:30,Italy,7,1,Italy
1934,First round,Romania,27/05/1934 16:30,Czech Republic,2,1,Czech Republic
